campaign,campaign_slug,customer,creation_date
Anime: Concierto Otaku Segunda Función,anime-concierto-otaku-bogota-2024-2,Tuboleta,1727723024
Kany García,kany-garcia-barranquilla-2024,Tuboleta,1718729996
Festival Olas Sonoras,festival-olas-sonoras-2024,eticket,1709594564
Ryan Castro,ryan-castro-cali-2024,Tuboleta,1718739886
Paul Van Dyk,paul-van-dyk-bogota-2024,Tuboleta,1720713998
Anitta,anitta-bogota-2024,eticket,1712679244
Alan Sutton,alan-sutton-bogota-2024,eticket,1718745966
Gilberto Santarosa,gilberto-santarosa-cali-2024,Tuboleta,1720037755
Ela Taubert,ela-taubert-bogota-2024,eticket,1720191347
DRUMCODE,drumcode-medellin-2024,Tuboleta,1715445690
Blue Man Group,blue-man-group-bogota-2024,eticket,1718747326
Anime: Concierto Otaku,anime-concierto-otaku-bogota-2024,Tuboleta,1727722435
Festival Estéreo Picnic,estereo-picnic-2024,eticket,1700579184
Circo del Sol Messi 10,circo-del-sol-messi-10-bogota-2024,eticket,1708526853
Lagoon Fest,lagoon-fest-piscilago-2024,eticket,1721319228
Weeekly,weeekly-bogota-2024,Tuboleta,1720736329
RUGE,ruge-medellin-2024,Tuboleta,1727724427
Blue Man Group,blue-man-group-medellin-2024,eticket,1718749025
Bacilos,bacilos-bogota-2025,Tuboleta,1731611744
Ryan Castro,ryan-castro-barranquilla-2024,Tuboleta,1718738695
Dread Mar I,dread-mar-i-bogota-2024,Tuboleta,1715314662
Silvestre Dangond & Hebert Vargas,silvestre-dangond-pereira-2024,Tuboleta,1715088187
Morat,morat-medellin-2024,Tuboleta,1715094369
The Smashing Pumpkins,the-smashing-pumpkins-bogota-2024,Tuboleta,1722269079
Mayra Sánchez,mayra-sanchez-bogota-2024,eticket,1713556183
Cacao Munch,cacao-munch-bogota-2024,eticket,1713547294
Premios Caligaris,premios-caligaris-bogota-2024,Tuboleta,1710188264
Danna,danna-bogota-2024,Tuboleta,1712078937
I LOVE 90'S,i-love-90s-bogota-2024,eticket,1719253679
Juanes,juanes-bogota-2024,Tuboleta,1710187850
Caifanes,caifanes-bogota-2024,Tuboleta,1710187345
Rawayana,rawayana-bogota-2024,eticket,1708571728
Juanes,juanes-cali-2024,eticket,1701381676
Exhale,exhale-medellin-2024,eticket,1718894237
Baum Festival,baum-festival-2024,,1701131754
