customer,campaign,year_campaign
eticket,ANDRÉS CEPEDA: PAQUETES FANS  BOGOTÁ,2024
eticket,MILLONARIOS VS SANTA FE,2024
eticket,JUAN DUQUE Q.M.P.E.V. TOUR,2024
Tuboleta,BUNBURY BOGOTÁ,2025
eticket,ANDRÉS CEPEDA: PAQUETES FANS  BUCARAMANGA,2024
eticket,BRIELA OJEDA EN CONCIERTO,2024
eticket,FESTIVAL CORDILLERA 2024  COMBO 2 DIAS,2024
eticket,COMBO 4 DIAS  FESTIVAL ESTÉREO PICNIC 2025,2025
Tuboleta,PAULINA RUBIO TOUR,2023
Tuboleta,&ME (FROM KEINEMUSIK) EN ORQUIDEORAMA,2025
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR  BARRANQUILLA,2024
eticket,DAMAS GRATIS,2024
eticket,METAMORFOSIS TOUR  ELA TAUBERT,2024
Tuboleta,TIËSTO,2025
Tuboleta,DRUMCODE,2024
eticket,JUANES PEREIRA  DESCUENTOS,2024
eticket,NO TE VA GUSTAR  MEDELLÍN,2024
eticket,DIAMANTE ELÉCTRICO PRESENTA UNA NOCHE EN LA CIUDAD,2024
Tuboleta,FELIPE PELÁEZ UN SUEÑO LLAMADO SINFÓNICO  BOGOTÁ,2024
Tuboleta,HOMBRES G 40 ANIVERSARIO,2023
eticket,BRESH BOGOTÁ,2024
Tuboleta,"SILVESTRE DANGOND.  LLEGO EL PODER ""TA MALO """,2024
eticket,VIERNES 22 DE MARZO 2024  FESTIVAL ESTÉREO PICNIC,2024
Tuboleta,DUKI,2025
eticket,BAUM FESTIVAL 2024 COMBO 2 DIAS,2024
eticket,MAJESTUOSOS 2023 30 DE DICIEMBRE,2023
eticket,SANTU EN CONCIERTO,2024
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  CALI,2024
eticket,NINA KRAVIZ,2024
eticket,MIGUEL ANGEL VIVO,2024
Tuboleta,¡HASTA AQUI FUE! FRANCAMENTE FRANKO,2024
eticket,ALEJANDRO SANTAMARIA,2024
eticket,VINO AL PARQUE  DOMINGO 23 JUNIO,2024
Tuboleta,MORAT,2024
Tuboleta,THE OFFSPRING: SUPERCHARGED WORLDWIDE IN ’25,2025
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR  BUCARAMANGA,2024
eticket,THE HALL EFFECT T.H.E COMEBACK,2024
eticket,PÁRAMO CELEBRA 2024,2024
Tuboleta,JUANES BOGOTÁ  JUANES COLOMBIA FECHA 2,2024
eticket,MAJESTUOSOS 2023 06 DE ENERO,2023
Tuboleta,LA SOLAR 2025  COMBO,2025
eticket,V FOR VOLUME  PLAN DE FUGA,2024
Tuboleta,SÚPER CONCIERTO FERIA MANIZALES,2024
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  IBAGUÉ,2024
eticket,RAPHAEL MEDELLÍN,2024
eticket,KNTXT CHARLOTTE DE WITTEPROMOTORES,2024
eticket,ANDRÉS CARNE DE RES PRESENTA: NAVIDAD,2024
eticket,JUANPIS LIVE SHOW  DE SAFARI EN EL SUR TEMPORADA II,2024
Tuboleta,KIM LOAIZA,2024
eticket,ALAN SUTTON Y LAS CRIATURAS DE LA ANSIEDAD,2024
eticket,CONCIERTO INAUGURAL: LOS COLORES NATURALES DE LA MÚSICA,2023
eticket,ZAMNA FESTIVAL CARTAGENA  DÍA 1,2023
Tuboleta,Don Tetto: Histórico,2024
Tuboleta,MEGADETH 2DA FECHA,2024
Tuboleta,Mon Laferte,2024
eticket,ANDRÉS CARNE DE RES PRESENTA: JALOGUIN RITUALES DE INFRAMUNDO,2024
Tuboleta,EMILIA,2025
Tuboleta,VIVE LA SALSA   PALCOS & GRADERIA,2024
Tuboleta,BRING ME THE HORIZON,2024
eticket,PÁRAMO CELEBRA 2024FAN DAYS,2024
eticket,MILKY CHANCE,2024
